relativePath,folder,filename,sha256,pages,title,author,creator,producer,creationDate,encrypted,pageSize,sampleTextCharacters,textLayer,error
"FUNK - SOUL - R&B - LINEAR/Funk Drumming 101 — 2-Bar Grooves.pdf","FUNK - SOUL - R&B - LINEAR","Funk Drumming 101 — 2-Bar Grooves.pdf","e3da748daa43f2bab4c1cfb8f21f1bdafff9a3062a606fc171315899a260e52c","1","","","","pypdf","","no","751.92 x 1062.96 pts","176","weak-or-scanned",""
"FUNK - SOUL - R&B - LINEAR/Linear Patterns Made Easy.pdf","FUNK - SOUL - R&B - LINEAR","Linear Patterns Made Easy.pdf","68a92eedb76b7655ebf6b97233ce2a01640395b243b53fad35ce832d4ea70913","2","","","","pypdf","","no","751.92 x 972 pts","1927","present",""
"FUNK - SOUL - R&B - LINEAR/Method for Developing Musical Linear Drum Fills.pdf","FUNK - SOUL - R&B - LINEAR","Method for Developing Musical Linear Drum Fills.pdf","200e835c284bf6cdf19e1489bae5c5fb1ab3fb6bc9ca109f57b85dfb810bfe95","6","","","","pypdf","","no","751.92 x 1002 pts","14427","present",""
"FUNK - SOUL - R&B - LINEAR/Mike Clark — Funk Drumming.pdf","FUNK - SOUL - R&B - LINEAR","Mike Clark — Funk Drumming.pdf","4e08590ad53aca2dc0462a3f67c42643e88da3705c530b9927d50757a5cb5baf","51","","","","pypdf","","no","751.92 x 1061.04 pts","0","weak-or-scanned",""
"FUNK - SOUL - R&B - LINEAR/Mike Johnston — Linear Drumming (alternate).pdf","FUNK - SOUL - R&B - LINEAR","Mike Johnston — Linear Drumming (alternate).pdf","585c2cd39514e14a90d8267c722595a3ff540134d7920d06ceb951c61b0a5850","84","","","","pypdf","","no","751.92 x 1062.96 pts","0","weak-or-scanned",""
"FUNK - SOUL - R&B - LINEAR/Mike Johnston — Linear Drumming.pdf","FUNK - SOUL - R&B - LINEAR","Mike Johnston — Linear Drumming.pdf","6b84daa9ee9c68623c6e353e5cc33ff79c19673329412ded748ca85bf02f614d","83","","","","pypdf","","no","751.92 x 1061.04 pts","0","weak-or-scanned",""
"GENERAL - HUGE GROOVE COLLECTIONS/100 Grooves Every Drummer Needs to Know.pdf","GENERAL - HUGE GROOVE COLLECTIONS","100 Grooves Every Drummer Needs to Know.pdf","46c92cd8a043885caf59b098297edfe0fd241fd9e125fe6127ba3ea84fa3825b","112","","","","pypdf","","no","751.92 x 972 pts","21479","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/1000 Drum Grooves — Steve Mansfield.pdf","GENERAL - HUGE GROOVE COLLECTIONS","1000 Drum Grooves — Steve Mansfield.pdf","09d278110e3e75866c57f8187ae59d2419355eb67a77a7c1df5258d024301838","99","","","","pypdf","","no","751.92 x 972 pts","719","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/1001 Drum Grooves — Steve Mansfield.pdf","GENERAL - HUGE GROOVE COLLECTIONS","1001 Drum Grooves — Steve Mansfield.pdf","98aaa0b031292effd3296e24c648eeff4513fec6d6a4a0f9574fe831552bd0c9","106","","","","pypdf","","no","751.92 x 1063.92 pts","2798","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/20 Essential Drum Grooves.pdf","GENERAL - HUGE GROOVE COLLECTIONS","20 Essential Drum Grooves.pdf","3ecc64b85be96eba4a53233a4b12738e3ed214461a348c4df85e2ce3796c9247","5","","","","pypdf","","no","751.92 x 1062.96 pts","1694","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Advanced Drum Grooves.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Advanced Drum Grooves.pdf","d5326b0e4a4243a290737969dbc6336d6957298484305adaa2fc5129d7bd46aa","1","","","","pypdf","","no","751.92 x 1061.04 pts","892","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Basic Course Drummer Notes — 96 pages.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Basic Course Drummer Notes — 96 pages.pdf","6b862dc919a16e310d3b9c8f696e839bac064604a0143470550f9a61dfca7b04","96","","","","pypdf","","no","751.92 x 1061.04 pts","0","weak-or-scanned",""
"GENERAL - HUGE GROOVE COLLECTIONS/Bass & Drum Grooves — Multi-Style.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Bass & Drum Grooves — Multi-Style.pdf","915091f5c74dc241c406d570562650ecbba302ddb32a975eac133c16b03fb832","4","","","","pypdf","","no","751.92 x 1061.04 pts","1539","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Drum Book — Multi-Style Groove Collection.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Drum Book — Multi-Style Groove Collection.pdf","3187600027fe3e853aacafd7634af8ed745b23c1bba149361174a339016d3b69","30","","","","pypdf","","no","751.92 x 972 pts","0","weak-or-scanned",""
"GENERAL - HUGE GROOVE COLLECTIONS/Drum Patterns for Musicians.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Drum Patterns for Musicians.pdf","a5bdd4a6ddc2e3d26653db4afcc0d7847f903281662b58a3c76c8712857a0765","2","","","","pypdf","","no","751.92 x 971.04 pts","511","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Drumset FUNdamentals.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Drumset FUNdamentals.pdf","39ddc4b77dcaeb4025853d52c635a0a1205d5eca191c9868fc9e011af59267cf","12","","","","pypdf","","no","751.92 x 972 pts","17008","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Essential Drum Grooves — 16 Rhythms.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Essential Drum Grooves — 16 Rhythms.pdf","2bb56376b3d0a8730acb6d0c649190e7ba3e3c1baf5ca9d69b207444ab63530c","1","","","","pypdf","","no","751.92 x 972 pts","344","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Franck Agulhon — Drumbook.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Franck Agulhon — Drumbook.pdf","e9fb2404ba2532d0fef20dbfe9d4d99f4c7a2b386d936789c6609ca998e0c35f","245","","","","pypdf","","no","751.92 x 1060.08 pts","0","weak-or-scanned",""
"GENERAL - HUGE GROOVE COLLECTIONS/Free Drum Book — Richard Hemmings.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Free Drum Book — Richard Hemmings.pdf","49294994b537e9e4ed36dbfd9c87e5d15f6bff21cbaf9039e10551bbdd11550c","35","","","","pypdf","","no","751.92 x 1061.04 pts","13941","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Grooves List.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Grooves List.pdf","642c8a4158d567e33677cfbeeadc946aa436f8f3bca2afec42a103916f1eef46","5","","","","pypdf","","no","751.92 x 1061.04 pts","2935","present",""
"GENERAL - HUGE GROOVE COLLECTIONS/Progressive 1,000,000 Drum Grooves — Craig Lauritsen.pdf","GENERAL - HUGE GROOVE COLLECTIONS","Progressive 1,000,000 Drum Grooves — Craig Lauritsen.pdf","4f2f3846064c45c20193463d12fe1587a3602a66f7567d431205a39add9945b4","64","","","","pypdf","","no","751.92 x 1049.04 pts","0","weak-or-scanned",""
"HIP-HOP - MODERN GROOVES/Basic Course Drummer Notes — Hip-Hop - Motown - Disco - Soul.pdf","HIP-HOP - MODERN GROOVES","Basic Course Drummer Notes — Hip-Hop - Motown - Disco - Soul.pdf","6b862dc919a16e310d3b9c8f696e839bac064604a0143470550f9a61dfca7b04","96","","","","pypdf","","no","751.92 x 1061.04 pts","0","weak-or-scanned",""
"HIP-HOP - MODERN GROOVES/Drum Book — Hip-Hop Groove Section.pdf","HIP-HOP - MODERN GROOVES","Drum Book — Hip-Hop Groove Section.pdf","3187600027fe3e853aacafd7634af8ed745b23c1bba149361174a339016d3b69","30","","","","pypdf","","no","751.92 x 972 pts","0","weak-or-scanned",""
"HIP-HOP - MODERN GROOVES/Progressive Drum Grooves — Rap - Funk.pdf","HIP-HOP - MODERN GROOVES","Progressive Drum Grooves — Rap - Funk.pdf","4f2f3846064c45c20193463d12fe1587a3602a66f7567d431205a39add9945b4","64","","","","pypdf","","no","751.92 x 1049.04 pts","0","weak-or-scanned",""
"JAZZ - SWING/Billy Hart — Jazz Drumming.pdf","JAZZ - SWING","Billy Hart — Jazz Drumming.pdf","343bd7b5fc908f6ec074ea2536efafef2bf15ba3626de54c7ba58c700d39a278","25","","","","pypdf","","no","751.92 x 1062.96 pts","0","weak-or-scanned",""
"JAZZ - SWING/Drummer Essentials — Jazz Drumming.pdf","JAZZ - SWING","Drummer Essentials — Jazz Drumming.pdf","0fb73c9196189b7855f3326f02c14e8f9cd0db9fe72fbc6c0b401ed9bbf6385f","49","","","","pypdf","","no","751.92 x 972 pts","19694","present",""
"JAZZ - SWING/Jazz Comping in 3 - 4.pdf","JAZZ - SWING","Jazz Comping in 3 - 4.pdf","b03d0e54a31f4afc05435633a87a49b38065ba29c0e12b4153b670f3a9ff393c","1","","","","pypdf","","no","751.92 x 1061.04 pts","598","present",""
"JAZZ - SWING/Jazz Drum Patterns — 32 Patterns.pdf","JAZZ - SWING","Jazz Drum Patterns — 32 Patterns.pdf","a68afaab43cc9f136ead1bff38d7f0526da8a4445e3e2df93e79ca145bde52a7","3","","","","pypdf","","no","751.92 x 1062.96 pts","720","present",""
"JAZZ - SWING/Jazz Drumming Phrases 1–30.pdf","JAZZ - SWING","Jazz Drumming Phrases 1–30.pdf","6ce98a5f5591f975b10d33a87fb64915cca3bff2500e8b417b1caa327c8c013f","3","","","","pypdf","","no","751.92 x 1062.96 pts","4569","present",""
