"canonicalId","family","tradition","archetype","strongSourceCount","anySourceCount","sourcePages"
"CAN-129","Latin America","Cuba","Son Montuno","2","4","PDF-92d5ddbcbf60:9; PDF-6e48001c173e:9|16|17|18; PDF-13c8925b6731:16|17; PDF-2fdfcd6bd899:8"
"CAN-130","Latin America","Cuba","Mambo","7","12","PDF-5d0aaaee12c0:6|8|34|38; PDF-92d5ddbcbf60:4|5|7|8|9|10|12|41|45; PDF-6e48001c173e:2|3|11|26|27|46; PDF-73cfc4ffc14c:4|7|8|28|30|31|32|33|34|35|52|58|61|63|64; PDF-d9d0cc68c73f:3|6|7|27|29|30|31|32|33|34|51|57|60|62|63; PDF-13c8925b6731:11|14; PDF-2fdfcd6bd899:4|6|7|8|9|11|38|41; PDF-6b862dc919a1:3|92; PDF-3187600027fe:3|6|15|26; PDF-2bb56376b3d0:1; PDF-595703bb31c1:24; PDF-3eb3fd314955:3|4|9"
"CAN-131","Latin America","Cuba","Cha-Cha-Cha","5","6","PDF-6e48001c173e:28|29; PDF-73cfc4ffc14c:7|8|35|60; PDF-d9d0cc68c73f:6|7|34|59; PDF-3187600027fe:3|25; PDF-f97e3e83bf02:8|52; PDF-3eb3fd314955:2|4|9"
"CAN-132","Latin America","Cuba","Bolero Cubano","0","0",""
"CAN-133","Latin America","Cuba","Songo","9","16","PDF-5d0aaaee12c0:12|13|14|15|16|17|31|34|42; PDF-92d5ddbcbf60:4|5|6|17|18|19|20|21|22|36|41|49|51|64|69; PDF-6e48001c173e:3|41|42|43|44; PDF-73cfc4ffc14c:4|5|9|29|52|53|54|56|59|64; PDF-d9d0cc68c73f:3|4|8|28|51|52|53|55|58|63; PDF-13c8925b6731:17|18|19; PDF-2fdfcd6bd899:4|5|16|17|18|19|20|21|33|38|45|47|60; PDF-81437d754683:1; PDF-6b862dc919a1:3|96; PDF-3187600027fe:3|26|29; PDF-a5bdd4a6ddc2:2; PDF-e9fb2404ba25:109|112|113; PDF-0fb73c919618:26|27; PDF-430d67e308d3:1; PDF-595703bb31c1:16|37|38; PDF-3eb3fd314955:2|4|9"
"CAN-134","Latin America","Cuba","Timba","11","16","PDF-5d0aaaee12c0:3|4|5|6|7|8|12|33; PDF-92d5ddbcbf60:7|8|10|11|12|17|35|36|38|41|64; PDF-6e48001c173e:7|28|41; PDF-73cfc4ffc14c:4|5|7|8|25|26|28|29|30|31|32|34|35|36|49|52|60|62|64; PDF-d9d0cc68c73f:3|4|6|7|24|25|27|28|29|30|31|33|34|35|48|51|59|61|63; PDF-13c8925b6731:20; PDF-2fdfcd6bd899:6|7|9|10|11|16|32|33|35|38|60; PDF-81437d754683:1|2|3; PDF-3187600027fe:6|19|25; PDF-f97e3e83bf02:17|31|91|92; PDF-39ddc4b77dca:12; PDF-430d67e308d3:2; PDF-595703bb31c1:22|23|24|38; PDF-9f544947c841:4; PDF-e584c291e034:7; PDF-3eb3fd314955:2|9"
"CAN-135","Latin America","Cuba","Mozambique","8","11","PDF-5d0aaaee12c0:29|32|33|36|54; PDF-92d5ddbcbf60:4|5|6|35|36|37|38|43|61|64|69; PDF-73cfc4ffc14c:4|5|6|29|49|50|51|52|58|61|64; PDF-d9d0cc68c73f:3|4|5|28|48|49|50|51|57|60|63; PDF-13c8925b6731:12|13|14; PDF-2fdfcd6bd899:4|5|32|33|34|35|40|57|60; PDF-81437d754683:1; PDF-3187600027fe:3|27|30; PDF-46c92cd8a043:95; PDF-595703bb31c1:37; PDF-3eb3fd314955:2|9"
"CAN-136","Latin America","Cuba","Guaguancó Drum-Set","0","0",""
"CAN-137","Latin America","Cuba","Afro-Cuban 6/8 / Bembé","0","0",""
"CAN-138","Latin America","Cuba","Salsa 2-3","0","0",""
"CAN-139","Latin America","Cuba","Salsa 3-2","0","0",""
